innings_id,match_id,team_id,innings_number,runs,wickets,overs,is_declared
647,66908,3,1,92,9,20.0,0
648,66911,96,2,133,3,19.5,0
649,66911,3,1,130,6,20.0,0
650,66918,96,2,116,10,18.4,0
651,66918,3,1,182,7,20.0,0
652,56747,3,1,182,10,19.5,0
653,56747,13,2,94,10,15.3,0
654,56754,3,1,192,4,20.0,0
655,56754,13,2,154,7,20.0,0
656,56759,3,2,159,10,20.0,0
657,56759,13,1,163,5,20.0,0
658,56761,13,1,164,5,18.5,0
659,56768,3,1,193,5,20.0,0
660,56768,13,2,194,4,19.2,0
661,56773,3,2,291,5,48.3,0
662,56773,13,1,288,7,50.0,0
663,56775,3,2,337,3,48.2,0
664,56775,13,1,336,5,50.0,0
665,56782,3,1,287,6,50.0,0
666,56782,13,2,261,10,49.1,0
667,56787,3,1,334,6,50.0,0
668,56787,13,2,232,10,43.4,0
669,56789,3,2,252,10,46.1,0
670,56789,13,1,299,10,49.3,0
671,66995,5,1,591,6,131.0,1
672,66995,27,2,143,10,52.3,0
673,66995,27,3,168,10,54.1,0
674,67002,5,2,704,3,151.0,1
675,67002,27,1,492,10,145.3,0
676,67002,27,3,202,10,77.3,0
677,67076,27,2,65,3,16.3,0
678,67076,6,1,246,9,50.0,0
679,67079,27,1,319,6,45.0,0
680,67079,6,2,320,7,44.3,0
681,67083,27,2,270,9,50.0,0
682,67083,6,1,274,10,48.5,0
683,67072,152,1,343,10,71.5,0
684,67072,152,3,307,8,53.0,1
685,67072,27,2,419,10,87.5,0
686,67072,27,4,232,NULL,42.4,0
687,53408,9,2,524,4,82.4,1
688,53408,9,4,12,NULL,0.4,0
689,53408,27,1,172,10,56.2,0
690,53408,27,3,362,9,86.2,0
691,69906,5,1,268,10,50.0,0
692,69906,96,2,269,4,46.5,0
693,69913,5,1,323,6,50.0,0
694,69913,96,2,191,10,42.1,0
695,69920,5,2,120,1,16.0,0
696,69920,96,1,116,10,22.2,0
697,70996,6,1,382,10,86.0,0
698,70996,6,3,425,4,80.0,1
699,70996,96,2,146,10,39.0,0
700,70996,96,4,115,10,33.0,0
701,70999,6,1,169,9,43.0,0
702,70999,96,2,83,2,21.4,0
703,71003,6,2,189,10,43.2,0
704,71003,96,1,331,9,50.0,0
705,71010,6,2,129,3,23.3,0
706,71010,96,1,126,10,45.2,0
707,71017,6,2,157,8,19.5,0
708,71017,96,1,154,7,20.0,0
709,71024,6,2,119,4,16.1,0
710,71024,96,1,116,7,17.0,0
711,73775,557,2,150,4,19.2,0
712,73775,532,1,149,5,20.0,0
713,73782,557,2,140,5,19.4,0
714,73782,532,1,137,10,19.1,0
715,73785,557,1,71,5,11.0,0
716,73642,154,1,196,10,46.3,0
717,73642,154,3,88,4,30.0,0
718,73642,3,2,342,10,78.3,0
719,73635,5,1,312,10,95.2,0
720,73635,5,3,279,10,83.1,0
721,73635,3,2,461,10,121.2,0
722,73635,3,4,133,6,32.5,0
723,73638,5,1,166,10,48.4,0
724,73638,5,3,188,10,67.4,0
725,73638,3,2,576,5,134.0,1
726,72819,10,1,150,10,64.3,0
727,72819,10,3,130,10,50.3,0
728,72819,2,2,421,5,152.2,1
729,72826,10,2,255,10,115.4,0
730,72826,10,4,76,2,32.0,0
731,72826,2,1,438,10,128.0,0
732,72826,2,3,181,2,24.0,1
733,72833,10,1,114,10,23.0,0
734,72833,2,2,118,5,22.5,0
735,72837,10,2,182,4,36.4,0
736,72837,2,1,181,10,40.5,0
737,72844,10,2,151,10,35.3,0
738,72844,2,1,351,5,50.0,0
739,72851,10,1,149,6,20.0,0
740,72851,2,2,145,9,20.0,0
741,72854,10,2,155,8,18.5,0
742,72854,2,1,152,7,20.0,0
743,72858,10,1,159,5,20.0,0
744,72858,2,2,164,3,17.5,0
745,72865,10,1,178,8,20.0,0
746,72865,2,2,179,1,17.0,0
747,72868,10,2,171,2,18.0,0
748,72868,2,1,165,9,20.0,0
749,77242,27,1,139,7,20.0,0
750,77242,2,2,47,2,6.5,0
751,77249,27,2,152,8,20.0,0
752,77249,2,1,185,5,20.0,0
753,78661,96,2,59,10,19.2,0
754,78661,3,1,201,10,47.1,0
755,78668,96,1,300,5,50.0,0
756,78668,3,2,302,9,49.5,0
757,78671,96,2,209,10,48.4,0
758,78671,3,1,268,8,50.0,0
759,80469,147,1,124,10,19.0,0
760,80469,13,2,126,3,12.0,0
761,80474,151,2,146,6,20.0,0
762,80474,13,1,168,6,20.0,0
763,53497,9,2,143,3,14.0,0
764,53497,13,1,139,9,20.0,0
765,53499,9,1,198,4,20.0,0
766,53499,13,2,103,10,13.5,0
767,53506,9,2,128,10,18.3,0
768,53506,13,1,202,5,20.0,0
769,53513,9,1,175,8,20.0,0
770,53513,13,2,179,4,17.2,0
771,53520,9,1,291,6,50.0,0
772,53520,13,2,297,2,45.4,0
773,53525,9,1,226,7,34.0,0
774,53525,13,2,147,10,26.5,0
775,53532,9,1,368,10,48.1,0
776,53532,13,2,187,10,39.0,0
777,53534,9,1,311,9,50.0,0
778,53534,13,2,211,10,38.2,0
779,69855,11,2,115,10,15.3,0
780,69855,4,1,226,6,20.0,0
781,69858,11,1,164,8,20.0,0
782,69858,4,2,168,2,14.5,0
783,69862,11,1,190,8,20.0,0
784,69862,4,2,191,5,17.5,0
785,69869,11,1,222,10,49.0,0
786,69869,4,2,225,7,40.2,0
787,69872,11,2,269,10,41.5,0
788,69872,4,1,392,8,50.0,0
789,69876,11,1,338,6,50.0,0
790,69876,4,2,227,10,34.3,0
791,69883,11,1,416,5,50.0,0
792,69883,4,2,252,10,34.5,0
793,69890,11,1,315,9,50.0,0
794,69890,4,2,193,10,34.1,0
795,53576,9,1,334,8,50.0,0
