id,teamId,teamName,teamSName,countryName,category,playerId,playerName,battingStyle,bowlingStyle,role
68,96,Afghanistan,AFG,Afghanistan,"Test Teams",12071,"Mujeeb Ur Rahman","Right-hand bat","Right-arm offbreak",BOWLER
69,96,Afghanistan,AFG,Afghanistan,"Test Teams",11289,Naveen-ul-Haq,"Right-hand bat","Right-arm fast-medium",BOWLER
70,96,Afghanistan,AFG,Afghanistan,"Test Teams",15452,"Noor Ahmad","Right-hand bat","Left-arm wrist-spin",BOWLER
71,27,Ireland,IRE,Ireland,"Test Teams",6710,"Andrew Balbirnie","Right-hand bat","Right-arm offbreak",BATSMEN
72,27,Ireland,IRE,Ireland,"Test Teams",1451963,"Cade Carmichael","Right-hand bat","Right-arm medium",BATSMEN
73,27,Ireland,IRE,Ireland,"Test Teams",11130,"Harry Tector","Right-hand bat","Right-arm offbreak",BATSMEN
74,27,Ireland,IRE,Ireland,"Test Teams",36594,"Ross Adair","Right-hand bat","Left-arm orthodox",BATSMEN
75,27,Ireland,IRE,Ireland,"Test Teams",13310,"Morgan Topping","Right-hand bat",NULL,BATSMEN
76,27,Ireland,IRE,Ireland,"Test Teams",1114,"Paul Stirling","Right-hand bat","Right-arm offbreak","ALL ROUNDER"
77,27,Ireland,IRE,Ireland,"Test Teams",13983,"Gareth Delany","Right-hand bat","Right-arm legbreak","ALL ROUNDER"
78,27,Ireland,IRE,Ireland,"Test Teams",6329,"George Dockrell","Right-hand bat","Left-arm orthodox","ALL ROUNDER"
79,27,Ireland,IRE,Ireland,"Test Teams",9667,"Andy McBrine","Left-hand bat","Right-arm offbreak","ALL ROUNDER"
80,27,Ireland,IRE,Ireland,"Test Teams",23506,"Matthew Humphreys","Right-hand bat","Left-arm orthodox","ALL ROUNDER"
81,27,Ireland,IRE,Ireland,"Test Teams",54252,"Jordan Neill","Right-hand bat","Right-arm medium","ALL ROUNDER"
82,27,Ireland,IRE,Ireland,"Test Teams",29018,"Fionn Hand","Right-hand bat","Right-arm medium","ALL ROUNDER"
83,27,Ireland,IRE,Ireland,"Test Teams",11131,"Lorcan Tucker","Right-hand bat",NULL,"WICKET KEEPER"
84,27,Ireland,IRE,Ireland,"Test Teams",11127,"Stephen Doheny","Right-hand bat",NULL,"WICKET KEEPER"
85,27,Ireland,IRE,Ireland,"Test Teams",10195,"Peter Moor","Right-hand bat","Right-arm offbreak","WICKET KEEPER"
86,27,Ireland,IRE,Ireland,"Test Teams",13309,"Neil Rock","Left-hand bat",NULL,"WICKET KEEPER"
87,27,Ireland,IRE,Ireland,"Test Teams",11128,"Joshua Little","Right-hand bat","Left-arm fast-medium",BOWLER
88,27,Ireland,IRE,Ireland,"Test Teams",10451,"Barry McCarthy","Right-hand bat","Right-arm fast-medium",BOWLER
89,27,Ireland,IRE,Ireland,"Test Teams",41928,"Thomas Mayes","Right-hand bat","Right-arm fast-medium",BOWLER
90,27,Ireland,IRE,Ireland,"Test Teams",1451972,"Liam McCarthy","Left-hand bat","Right-arm fast-medium",BOWLER
91,27,Ireland,IRE,Ireland,"Test Teams",6575,"Craig Young","Right-hand bat","Right-arm fast-medium",BOWLER
92,27,Ireland,IRE,Ireland,"Test Teams",10449,"Mark Adair","Right-hand bat","Right-arm fast",BOWLER
93,27,Ireland,IRE,Ireland,"Test Teams",11124,"Benjamin White","Right-hand bat","Right-arm legbreak",BOWLER
