match_id,innings_id,team_id,team_name,bowler_id,bowler_name,overs,maidens,runs,wickets,economy,no_balls,wides,dots,balls,bowling_position,venue_ground,venue_city,venue,start_date
38622,1,5,"Sri Lanka",10928,"Lahiru Kumara",10.5,1,52,1,4.8,0,0,1,105,3,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,1,5,"Sri Lanka",10934,Asalanka,3.1,0,14,0,4.4,0,0,0,31,6,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,1,5,"Sri Lanka",7872,"Dhananjaya de Silva",18.2,1,79,1,4.3,1,0,1,182,5,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,1,5,"Sri Lanka",8413,"Vishwa Fernando",26,1,135,2,5.2,2,0,1,260,2,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,1,5,"Sri Lanka",1785,Lakmal,25,1,90,2,3.6,5,0,1,250,1,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,2,2,India,8182,"Jayant Yadav",6,2,15,0,2.5,2,0,2,60,4,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,2,2,India,1593,Ashwin,20,8,49,2,2.5,0,0,8,200,3,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,2,2,India,587,"Ravindra Jadeja",13,4,41,5,3.2,3,0,4,130,5,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,2,2,India,9311,Bumrah,14,3,36,2,2.6,1,0,3,140,2,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,2,2,India,7909,Shami,12,5,27,1,2.2,2,0,5,120,1,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,3,2,India,8182,"Jayant Yadav",11,3,21,0,1.9,0,0,3,110,4,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,3,2,India,587,"Ravindra Jadeja",16,5,46,4,2.9,0,0,5,160,3,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,3,2,India,9311,"Jasprit  Bumrah",4,1,7,0,1.8,0,0,1,40,5,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,3,2,India,7909,"Mohammed Shami",8,1,48,2,6,1,0,1,80,2,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38622,3,2,India,1593,"Ravichandran Ashwin",21,5,47,4,2.2,0,0,5,210,1,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
38627,1,5,"Sri Lanka",12131,Jayawickrama,17.1,3,81,3,4.7,0,0,3,171,4,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,1,5,"Sri Lanka",12688,Embuldeniya,24,2,94,3,3.9,1,0,2,240,3,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,1,5,"Sri Lanka",7872,"Dhananjaya de Silva",7,1,32,2,4.6,0,0,1,70,5,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,1,5,"Sri Lanka",8413,"Vishwa Fernando",3,0,18,0,6,1,0,0,30,2,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,1,5,"Sri Lanka",1785,Lakmal,8,3,12,1,1.5,0,0,3,80,1,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,2,2,India,587,"Ravindra Jadeja",6,1,15,0,2.5,0,0,1,60,4,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,2,2,India,7909,Shami,6,1,18,2,3,0,0,1,60,3,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,2,2,India,8808,Axar,5,1,21,1,4.2,0,0,1,50,5,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,2,2,India,1593,Ashwin,8.5,1,30,2,3.4,0,0,1,85,2,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,2,2,India,9311,Bumrah,10,4,24,5,2.4,0,0,4,100,1,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,3,5,"Sri Lanka",7872,"Dhananjaya de Silva",9,0,47,1,5.2,0,0,0,90,4,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,3,5,"Sri Lanka",8413,"Vishwa Fernando",10,2,48,1,4.8,0,0,2,100,3,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,3,5,"Sri Lanka",12131,Jayawickrama,19,2,78,4,4.1,0,0,2,190,5,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,3,5,"Sri Lanka",12688,Embuldeniya,20.5,1,87,3,4.2,1,0,1,205,2,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,3,5,"Sri Lanka",1785,Lakmal,10,2,34,0,3.4,0,0,2,100,1,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,4,2,India,587,"Ravindra Jadeja",14,2,48,1,3.4,1,0,2,140,4,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,4,2,India,1593,"Ravichandran Ashwin",19.3,3,55,4,2.8,0,0,3,193,3,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,4,2,India,8808,"Axar Patel",11,1,37,2,3.4,0,0,1,110,5,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,4,2,India,7909,"Mohammed Shami",6,0,26,0,4.3,0,0,0,60,2,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38627,4,2,India,9311,"Jasprit  Bumrah",9,4,23,3,2.6,0,0,4,90,1,"M.Chinnaswamy Stadium",Bengaluru,"M.Chinnaswamy Stadium, Bengaluru","2022-03-12 14:00:00"
38632,1,5,"Sri Lanka",12131,Jayawickrama,2,0,15,0,7.5,0,0,0,20,4,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,1,5,"Sri Lanka",9500,"C Karunaratne",4,0,46,0,11.5,0,2,0,40,3,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
