id,matchDescription,team1,team2,venue,city,date
79,"35th Match","Central Delhi Kings","Purani Dilli 6","Arun Jaitley Stadium",Delhi,"2025-08-25 19:00:00"
80,"10th Match","Adani Trivandrum Royals","Alleppey Ripples","Greenfield International Stadium",Thiruvananthapuram,"2025-08-25 18:45:00"
81,"22nd Match",Jersey,Denmark,Grainville,"St Saviour","2025-08-25 15:30:00"
82,"29th Match","Hubli Tigers","Shivamogga Lions","Srikantadatta Narasimha Raja Wadeyar Ground",Mysore,"2025-08-25 15:15:00"
83,"16th Match","Kanpur Superstars","Meerut Mavericks","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-25 15:00:00"
84,"9th Match","Thrissur Titans","Aries Kollam Sailors","Greenfield International Stadium",Thiruvananthapuram,"2025-08-25 14:30:00"
85,"34th Match","West Delhi Lions","South Delhi Superstarz","Arun Jaitley Stadium",Delhi,"2025-08-25 14:00:00"
86,"12th Match","Saint Lucia Kings","Barbados Royals","Daren Sammy National Cricket Stadium","Gros Islet, St Lucia","2025-08-25 04:30:00"
87,"28th Match","Manchester Originals","Birmingham Phoenix","Emirates Old Trafford",Manchester,"2025-08-24 22:30:00"
88,"11th Match","St Kitts and Nevis Patriots","Antigua and Barbuda Falcons","Sir Vivian Richards Stadium","North Sound, Antigua","2025-08-24 20:30:00"
89,"15th Match","Kashi Rudras","Lucknow Falcons","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-24 19:30:00"
90,"28th Match","Mysore Warriors","Shivamogga Lions","Srikantadatta Narasimha Raja Wadeyar Ground",Mysore,"2025-08-24 19:15:00"
91,"8th Match","Italy Women","Netherlands Women",Hazelaarweg,Rotterdam,"2025-08-24 19:15:00"
92,"27th Match","Welsh Fire","Trent Rockets","Sophia Gardens",Cardiff,"2025-08-24 19:00:00"
93,"28th Match","Birmingham Phoenix Women","Manchester Originals Women","Emirates Old Trafford",Manchester,"2025-08-24 19:00:00"
94,"8th Match","Aries Kollam Sailors","Kochi Blue Tigers","Greenfield International Stadium",Thiruvananthapuram,"2025-08-24 18:45:00"
95,"4th T20I",Belgium,Austria,"Velden Cricket Ground",Latschach,"2025-08-24 17:30:00"
96,"21st Match","Papua New Guinea",Kuwait,"Farmers Cricket Club Ground","St Martin","2025-08-24 15:30:00"
97,"20th Match",Kenya,Qatar,Grainville,"St Saviour","2025-08-24 15:30:00"
98,"Group A",Surrey,Nottinghamshire,"Trent Bridge",Nottingham,"2025-08-24 15:30:00"
99,"Group B",Northamptonshire,Middlesex,"County Ground",Northampton,"2025-08-24 15:30:00"
100,"Group A",Essex,Gloucestershire,"County Ground",Chelmsford,"2025-08-24 15:30:00"
101,"Group A",Derbyshire,Hampshire,"The Rose Bowl",Southampton,"2025-08-24 15:30:00"
102,"Group A",Worcestershire,Leicestershire,"Grace Road",Leicester,"2025-08-24 15:30:00"
103,"Group B",Kent,Somerset,"St Lawrence Ground",Canterbury,"2025-08-24 15:30:00"
104,"Group B",Durham,Warwickshire,"Riverside Ground",Chester-le-Street,"2025-08-24 15:30:00"
105,"Group B",Sussex,Yorkshire,"County Ground",Hove,"2025-08-24 15:30:00"
106,"27th Match","Trent Rockets Women","Welsh Fire Women","Sophia Gardens",Cardiff,"2025-08-24 15:30:00"
107,"27th Match","Bengaluru Blasters","Mangalore Dragons","Srikantadatta Narasimha Raja Wadeyar Ground",Mysore,"2025-08-24 15:15:00"
108,"14th Match","Meerut Mavericks","Noida Kings","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-24 15:00:00"
109,"7th Match","Adani Trivandrum Royals","Calicut Globstars","Greenfield International Stadium",Thiruvananthapuram,"2025-08-24 14:30:00"
110,"7th Match","Ireland Women","Germany Women",Hazelaarweg,Rotterdam,"2025-08-24 14:30:00"
111,"33rd Match","Central Delhi Kings","New Delhi Tigers","Arun Jaitley Stadium",Delhi,"2025-08-24 14:00:00"
112,"3rd T20I",Belgium,Austria,"Velden Cricket Ground",Latschach,"2025-08-24 13:00:00"
113,"3rd ODI",Australia,"South Africa","Great Barrier Reef Arena",Mackay,"2025-08-24 10:00:00"
114,"10th Match","Trinbago Knight Riders","Saint Lucia Kings","Daren Sammy National Cricket Stadium","Gros Islet, St Lucia","2025-08-24 04:30:00"
115,"26th Match","London Spirit","Southern Brave",Lord's,London,"2025-08-23 22:30:00"
116,"Only unofficial Test","India A Women","Australia A Women","Allan Border Field",Brisbane,"2025-08-21 05:00:00"
