teamId,teamName,teamSName,countryName,category,playerId,playerName,battingStyle,bowlingStyle,role,Matches_Test_bat,Matches_ODI_bat,Matches_T20_bat,Innings_Test_bat,Innings_ODI_bat,Innings_T20_bat,Runs_Test_bat,Runs_ODI_bat,Runs_T20_bat,Balls_Test_bat,Balls_ODI_bat,Balls_T20_bat,Highest_Test_bat,Highest_ODI_bat,Highest_T20_bat,Average_Test_bat,Average_ODI_bat,Average_T20_bat,SR_Test_bat,SR_ODI_bat,SR_T20_bat,"Not Out_Test_bat","Not Out_ODI_bat","Not Out_T20_bat",Ducks_Test_bat,Ducks_ODI_bat,Ducks_T20_bat,50s_Test_bat,50s_ODI_bat,50s_T20_bat,100s_Test_bat,100s_ODI_bat,100s_T20_bat,Matches_Test_bowl,Matches_ODI_bowl,Matches_T20_bowl,Matches_IPL_bowl,Innings_Test_bowl,Innings_ODI_bowl,Innings_T20_bowl,Balls_Test_bowl,Balls_ODI_bowl,Balls_T20_bowl,Runs_Test_bowl,Runs_ODI_bowl,Runs_T20_bowl,Maidens_Test_bowl,Maidens_ODI_bowl,Maidens_T20_bowl,Wickets_Test_bowl,Wickets_ODI_bowl,Wickets_T20_bowl,Avg_Test_bowl,Avg_ODI_bowl,Avg_T20_bowl,Eco_Test_bowl,Eco_ODI_bowl,Eco_T20_bowl,SR_Test_bowl,SR_ODI_bowl,SR_T20_bowl,5w_Test_bowl,5w_ODI_bowl,5w_T20_bowl
11,"South Africa",RSA,"South Africa","Test Teams",6349,"David Miller","Left-hand bat",NULL,BATSMEN,0,178,130,0,154,114,0,4611,2593,0,4447,1842,0,139,106,0.00,42.30,33.24,0.00,103.69,140.78,0,45,36,0,9,3,0,24,8,0,7,2,0,178,130,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
9,England,ENG,England,"Test Teams",6507,"Jonny Bairstow","Right-hand bat","Right-arm medium","WICKET KEEPER",100,107,80,178,98,72,6042,3868,1671,10228,3758,1215,167,141,90,36.40,42.98,29.84,59.08,102.93,137.54,12,8,16,17,9,6,26,17,10,12,11,0,100,107,80,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
9,England,ENG,England,"Test Teams",6557,"Ben Stokes","Left-hand bat","Right-arm fast-medium","ALL ROUNDER",115,114,43,206,99,36,7032,3463,585,11845,3619,457,258,182,52,35.70,41.23,21.67,59.37,95.69,128.01,9,15,9,16,7,1,35,24,1,14,5,0,115,114,43,45,170,88,36,13160,3110,612,7279,3137,856,379,8,1,230,74,26,31.65,42.39,32.92,3.32,6.05,8.39,57.22,42.03,23.54,5,1,0
27,Ireland,IRE,Ireland,"Test Teams",6575,"Craig Young","Right-hand bat","Right-arm fast-medium",BOWLER,3,48,68,4,27,24,11,166,79,38,189,105,5,40,22,3.67,13.83,7.18,28.95,87.84,75.24,1,15,13,0,5,3,0,0,0,0,0,0,3,48,68,0,6,45,67,376,2300,1376,188,2094,1843,11,17,1,8,81,84,23.50,25.85,21.94,3.00,5.46,8.04,47.00,28.40,16.38,0,1,0
4,Australia,AUS,Australia,"Test Teams",6635,"Usman Khawaja","Left-hand bat","Right-arm offbreak",BATSMEN,84,40,9,152,39,9,6053,1554,241,12464,1848,182,232,104,58,43.55,42.00,26.78,48.57,84.10,132.42,13,2,0,9,2,0,27,12,1,16,2,0,84,40,9,6,3,0,0,18,0,0,8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0,0,0
9,England,ENG,England,"Test Teams",6670,"Chris Woakes","Right-hand bat","Right-arm fast-medium","ALL ROUNDER",62,122,33,99,88,17,2034,1524,146,3843,1710,117,137,95,37,25.11,23.81,16.22,52.93,89.13,124.79,18,24,8,11,8,2,7,6,0,1,0,0,62,122,33,21,118,118,33,11219,5737,611,5686,5193,822,417,53,1,192,173,31,29.61,30.02,26.52,3.04,5.43,8.07,58.43,33.16,19.71,5,3,0
27,Ireland,IRE,Ireland,"Test Teams",6710,"Andrew Balbirnie","Right-hand bat","Right-arm offbreak",BATSMEN,10,116,109,20,110,106,476,3264,2392,935,4397,1941,95,145,83,25.05,31.69,23.22,50.91,74.24,123.24,1,7,3,3,8,6,5,17,12,0,9,0,10,116,109,0,1,4,0,6,60,0,8,68,0,0,0,0,0,2,0,0.00,34.00,0.00,8.00,6.80,0.00,0.00,30.00,0.00,0,0,0
4,Australia,AUS,Australia,"Test Teams",7662,"Glenn Maxwell","Right-hand bat","Right-arm offbreak","ALL ROUNDER",7,149,124,14,136,114,339,3990,2833,570,3149,1816,104,201,145,26.08,33.81,29.51,59.48,126.71,156.01,1,18,18,0,12,5,0,23,12,1,4,5,7,149,124,141,9,119,83,462,4002,1081,341,3644,1472,4,14,0,8,77,49,42.63,47.32,30.04,4.43,5.46,8.17,57.75,51.97,22.06,0,0,0
4,Australia,AUS,Australia,"Test Teams",7710,"Mitchell Starc","Left-hand bat","Left-arm fast",BOWLER,100,127,65,147,75,21,2322,577,98,3919,744,100,99,52,14,20.19,12.02,9.80,59.25,77.56,98.00,32,27,11,16,12,0,11,1,0,0,0,0,100,127,65,51,192,127,65,19094,6512,1458,10863,5712,1881,607,55,2,402,244,79,27.02,23.41,23.81,3.41,5.26,7.74,47.50,26.69,18.46,16,9,0
10,"West Indies",WI,"West Indies","Test Teams",7736,"Andre Russell","Right-hand bat","Right-arm fast","ALL ROUNDER",1,56,86,1,47,75,2,1034,1122,9,794,685,2,92,71,2.00,27.21,22.00,22.23,130.23,163.80,0,9,24,0,6,9,0,4,3,0,0,0,1,56,86,139,2,55,75,138,2290,1221,104,2229,1919,2,14,0,1,70,61,104.00,31.84,31.46,4.52,5.84,9.43,138.00,32.71,20.02,0,0,0
4,Australia,AUS,Australia,"Test Teams",7850,"Nathan Lyon","Right-hand bat","Right-arm offbreak",BOWLER,139,29,2,177,14,1,1638,77,4,3221,83,4,47,30,4,12.80,19.25,0.00,50.86,92.78,100.00,49,10,1,19,1,0,0,0,0,0,0,0,139,29,2,0,259,29,2,34502,1626,30,16942,1334,48,1089,11,0,562,29,1,30.15,46.00,48.00,2.95,4.92,9.60,61.39,56.07,30.00,24,0,0
5,"Sri Lanka",SL,"Sri Lanka","Test Teams",7872,"Dhananjaya de Silva","Right-hand bat","Right-arm offbreak","ALL ROUNDER",65,90,45,115,82,44,4133,1865,847,7089,2373,731,173,93,66,38.27,25.90,21.18,58.31,78.60,115.87,7,10,4,10,4,2,19,10,3,12,0,0,65,90,45,0,95,75,25,4149,2250,286,2301,1907,327,84,1,0,43,44,16,53.51,43.34,20.44,3.33,5.09,6.86,96.49,51.14,17.88,0,0,0
2,India,IND,India,"Test Teams",7915,"Suryakumar Yadav","Right-hand bat","Right-arm offbreak",BATSMEN,1,37,83,1,35,79,8,773,2598,20,736,1555,8,72,117,8.00,25.77,38.21,40.00,105.03,167.08,0,5,11,0,3,5,0,4,21,0,0,4,1,37,83,166,0,1,1,0,12,6,0,17,5,0,0,0,0,0,2,0.00,0.00,2.50,0.00,8.50,5.00,0.00,0.00,3.00,0,0,0
9,England,ENG,England,"Test Teams",8019,"Joe Root","Right-hand bat","Right-arm offbreak",BATSMEN,158,181,32,288,170,30,13543,7140,893,23556,8151,707,262,166,90,51.30,48.90,35.72,57.50,87.60,126.31,24,24,5,13,9,2,66,42,5,39,18,0,158,181,32,3,165,77,9,6200,1755,84,3465,1731,139,163,2,0,73,28,6,47.47,61.82,23.17,3.35,5.92,9.93,84.93,62.68,14.00,1,0,0
