match_id,innings_id,team_id,team_name,player_id,player_name,runs,balls,fours,sixes,strike_rate,position,out_desc,is_captain,is_keeper,start_date
38612,2,10,"West Indies",9395,"Sheldon Cottrell",0,0,0,0,0,11,,0,0,"2022-02-18 19:00:00"
38617,1,2,India,11813,"Ruturaj Gaikwad",4,8,1,0,50,1,"c K Mayers b Holder",0,0,"2022-02-20 19:00:00"
38617,1,2,India,10276,"Ishan Kishan",34,31,5,0,109.68,2,"b Roston Chase",0,1,"2022-02-20 19:00:00"
38617,1,2,India,9428,"Shreyas Iyer",25,16,4,0,156.25,3,"c Holder b Hayden Walsh",0,0,"2022-02-20 19:00:00"
38617,1,2,India,576,Rohit,7,15,0,0,46.67,4,"b Dominic Drakes",1,0,"2022-02-20 19:00:00"
38617,1,2,India,7915,"Suryakumar Yadav",65,31,1,7,209.68,5,"c Rovman Powell b Romario Shepherd",0,0,"2022-02-20 19:00:00"
38617,1,2,India,10917,"Venkatesh Iyer",35,19,4,2,184.21,6,"not out",0,0,"2022-02-20 19:00:00"
38617,1,2,India,7836,"D Chahar",0,0,0,0,0,7,,0,0,"2022-02-20 19:00:00"
38617,1,2,India,8683,Thakur,0,0,0,0,0,8,,0,0,"2022-02-20 19:00:00"
38617,1,2,India,8175,"Harshal Patel",0,0,0,0,0,9,,0,0,"2022-02-20 19:00:00"
38617,1,2,India,14659,"Ravi Bishnoi",0,0,0,0,0,10,,0,0,"2022-02-20 19:00:00"
38617,1,2,India,9781,"Avesh Khan",0,0,0,0,0,11,,0,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",8440,"Kyle Mayers",6,5,1,0,120,1,"c Ishan Kishan b D Chahar",0,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",10384,"Shai Hope",8,4,2,0,200,2,"c Ishan Kishan b D Chahar",0,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",9406,"Nicholas Pooran",61,47,8,1,129.79,3,"c Ishan Kishan b Thakur",0,1,"2022-02-20 19:00:00"
38617,2,10,"West Indies",11445,"Rovman Powell",25,14,2,2,178.57,4,"c Thakur b Harshal Patel",0,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",657,"Kieron Pollard",5,7,1,0,71.43,5,"c Ravi Bishnoi b Venkatesh Iyer",1,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",8313,"Jason Holder",2,6,0,0,33.33,6,"c Shreyas Iyer b Venkatesh Iyer",0,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",11543,"Roston Chase",12,7,2,0,171.43,7,"b Harshal Patel",0,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",13646,"Romario Shepherd",29,21,1,3,138.1,8,"c Rohit b Harshal Patel",0,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",9785,"Fabian Allen",5,3,1,0,166.67,9,"not out",0,0,"2022-02-20 19:00:00"
38617,2,10,"West Indies",13750,"Dominic Drakes",4,3,1,0,133.33,10,"c Rohit b Thakur",0,0,"2022-02-20 19:00:00"
